,RelativeHumidity_ref0_D0,Temperature_ref0_D0,WindDirection_ref0_D0,WindDirection:100_ref0_D0,WindSpeed_ref0_D0,WindSpeed:100_ref0_D0,Wind_MWh
2023-02-19 00:00:00,89.94883473714192,8.571706136067709,262.9329333835178,266.0711398654514,9.394428809483848,13.815485715866089,448.7387
2023-02-19 00:30:00,90.13779746161566,8.474777221679688,268.97040430704754,271.3812756008572,9.4394744667742,13.729719188478258,385.5719
2023-02-19 01:00:00,90.32676018608942,8.377848307291666,275.00787523057727,276.691411336263,9.484520124064552,13.643952661090427,353.752
2023-02-19 01:30:00,91.19505733913846,8.181910196940104,258.52741114298504,259.6952641805013,8.839477138386833,12.54218528668086,363.0234
2023-02-19 02:00:00,92.0633544921875,7.985972086588542,242.0469470553928,242.6991170247396,8.194434152709114,11.440417912271288,301.1951
2023-02-19 02:30:00,92.51281865437826,7.687025282118055,208.11402214898004,209.9556613498264,7.7294374042087135,10.44217546780904,161.6846
2023-02-19 03:00:00,92.96228281656902,7.38807847764757,174.18109724256726,177.2122056749132,7.264440655708313,9.443933023346794,100.312
2023-02-19 03:30:00,92.73160807291669,7.05858866373698,131.2820201449924,128.6477991739909,6.897474070390066,8.523901244004566,125.892
2023-02-19 04:00:00,92.50093332926431,6.729098849826389,88.38294304741754,80.08339267306857,6.530507485071818,7.60386946466234,147.072
2023-02-19 04:30:00,90.68862279256186,6.667590671115452,54.46161482069228,50.562377081977,6.454046189785004,7.454087323612637,134.692
2023-02-19 05:00:00,88.87631225585938,6.606082492404514,20.54028659396701,21.041361490885414,6.377584894498189,7.304305182562934,83.852
2023-02-19 05:30:00,87.53164672851562,6.615512424045139,150.16301345825192,150.48823589748804,5.775881012280782,6.611093633704716,84.292
2023-02-19 06:00:00,86.18698120117188,6.624942355685764,279.78574032253687,279.9351103040907,5.174177130063375,5.917882084846497,77.002
2023-02-19 06:30:00,85.57844797770181,6.6135101318359375,313.4512638515896,313.73051918877496,4.770687739054361,5.405052006244659,44.232
2023-02-19 07:00:00,84.96991475423177,6.602077907986111,347.11678738064234,347.5259280734592,4.367198348045349,4.892221927642822,20.995
2023-02-19 07:30:00,84.88472493489583,6.6163991292317705,338.0810945298937,338.7576849195692,3.855200111865997,4.31788757443428,23.669
2023-02-19 08:00:00,84.79953511555989,6.63072035047743,329.04540167914496,329.98944176567926,3.343201875686645,3.7435532212257385,46.232
2023-02-19 08:30:00,84.90033509996202,6.67179701063368,308.26465182834204,309.2151870727539,3.3288820849524603,3.725081953737471,49.002
2023-02-19 09:00:00,85.00113508436415,6.71287367078993,287.48390197753906,288.4409323798285,3.314562294218275,3.706610686249203,25.602
2023-02-19 09:30:00,85.343874613444,6.802571614583333,282.76419152153863,284.22826385498047,3.658429543177287,4.24908839000596,3.26
2023-02-19 10:00:00,85.68661414252387,6.892269558376736,278.0444810655382,280.0155953301324,4.002296792136298,4.791566093762715,4.846
2023-02-19 10:30:00,85.76320521036783,6.965359157986111,275.1443269517687,277.4341066148546,4.200890206628376,5.179997622966766,25.361
2023-02-19 11:00:00,85.83979627821181,7.038448757595486,272.24417283799914,274.85261789957684,4.399483621120453,5.568429152170817,47.502
2023-02-19 11:30:00,85.98461405436197,7.061360677083333,268.594911787245,271.2681672837999,4.246551106373468,5.399107191297743,50.772
2023-02-19 12:00:00,86.12943183051215,7.08427259657118,264.9456507364909,267.683716668023,4.093618591626485,5.229785230424669,95.343
2023-02-19 12:30:00,86.1691428290473,7.10270521375868,261.68678092956543,263.8966424730089,4.913597206274668,6.301594025558895,134.552
2023-02-19 13:00:00,86.20885382758246,7.12113783094618,258.42791112264,260.1095682779948,5.733575820922852,7.373402820693122,192.992
2023-02-19 13:30:00,86.37128067016602,7.136817084418403,252.8117652469211,254.90042368570963,5.614553186628553,7.3418360816107855,236.383
2023-02-19 14:00:00,86.53370751274957,7.152496337890625,247.19561937120227,249.69127909342447,5.495530552334255,7.310269342528449,239.242
2023-02-19 14:30:00,87.41725413004558,7.258494059244791,244.13225046793625,246.71178902520077,6.268400808175405,8.338069551520878,240.472
2023-02-19 15:00:00,88.30080074734158,7.364491780598958,241.0688815646701,243.732298956977,7.041271064016554,9.365869760513306,305.613
2023-02-19 15:30:00,86.13918177286784,7.498528374565971,239.42071723937988,243.5847233666314,7.183382703198327,9.770184079806011,362.583
2023-02-19 16:00:00,83.9775627983941,7.632564968532986,237.77255291408963,243.4371477762858,7.3254943423801,10.174498399098717,377.112
2023-02-19 16:30:00,83.5723876953125,7.763397216796875,233.5789091322157,240.34445190429688,7.185973584651947,10.23239737086826,378.322
2023-02-19 17:00:00,83.1672125922309,7.894229465060764,229.3852653503418,237.25175603230795,7.046452826923794,10.290296342637804,415.292
2023-02-19 17:30:00,83.00720002916124,8.071526421440971,231.82950507269965,239.5442498524984,7.565621852874756,11.084063013394672,468.612
2023-02-19 18:00:00,82.84718746609158,8.24882337782118,234.2737447950575,241.8367436726888,8.084790878825718,11.877829684151544,565.302
2023-02-19 18:30:00,83.10366948445639,8.349789089626736,234.72169812520343,241.9478323194716,8.439908001157972,12.35070690843794,593.702
2023-02-19 19:00:00,83.36015150282118,8.450754801432291,235.1696514553494,242.05892096625436,8.795025123490227,12.82358413272434,595.212
2023-02-19 19:30:00,83.46396425035265,8.455223931206596,235.4965625339084,241.0795809427897,9.097430540455711,13.311601294411552,595.912
2023-02-19 20:00:00,83.56777699788411,8.459693060980904,235.82347361246744,240.10024091932507,9.399835957421196,13.799618456098768,596.082
2023-02-19 20:30:00,83.62213516235352,8.465199788411459,237.6261185540093,241.78454483879935,9.863056792153252,14.426500916481018,596.002
2023-02-19 21:00:00,83.67649332682292,8.470706515842014,239.4287634955512,243.46884875827365,10.326277626885307,15.053383376863268,596.022
2023-02-19 21:30:00,83.9044681125217,8.463931613498264,239.91261863708496,243.4601313273112,10.505737370914884,15.114110562536451,596.002
